Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
05131001201,4589,3626,172,113,124,0,451,34.3,56694,36,554,152,494,127,110,180,392,1560,920,640,812,0,1332,138,90,1332,1332,1175,228,87,39,82,53,290,194,214,207,4317,0,29,86,157,58,0,2700,4189,1560,615,0,2380.23,6,4,360 Communications INC -- Ritter Communications Inc. -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001202,2599,1559,396,11,116,0,326,41.2,32354,13,521,181,111,29,18,365,518,1095,498,597,272,0,727,168,200,734,734,597,319,100,31,252,118,215,118,144,119,2435,0,26,68,70,56,64,1802,2475,1095,605,0,1519.87,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001301,2437,2077,58,23,135,0,20,48.8,93887,0,444,28,407,275,19,0,99,1007,764,243,277,0,857,92,58,875,875,752,83,30,11,77,72,74,67,65,51,2319,0,26,67,25,0,64,1849,2375,1007,239,0,1211.47,6,4,360 Communications INC -- Ritter Communications Inc. -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001305,4656,3931,104,7,214,0,256,43.3,63470,0,758,59,765,416,16,190,105,2017,1613,404,489,0,1722,197,98,1722,1722,1523,114,26,26,25,25,303,210,400,295,4432,0,9,138,77,86,96,3300,4407,2017,472,0,1758.71,6,4,Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001306,4788,3418,196,8,396,0,346,37.1,101316,0,345,133,1099,331,66,76,143,1778,1115,663,565,0,1704,17,57,1704,1704,1545,57,25,25,27,27,148,131,123,123,4446,0,47,268,27,48,163,3332,4315,1778,248,0,788.79,8,5,Wave Rural Connect -- 360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001307,3083,2464,155,5,228,0,116,32.5,50537,8,432,17,508,168,98,316,82,1472,664,808,499,16,1243,201,12,1259,1243,961,118,194,114,47,38,52,52,420,314,2852,0,22,116,93,0,32,2191,2756,1472,222,0,264.21,6,4,Wave Rural Connect -- 360 Communications INC -- T-Mobile US -- Cox Communications -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001308,3950,3136,106,0,392,0,462,46.1,51169,15,774,235,542,159,55,192,249,1924,1461,463,325,0,1639,185,100,1639,1639,893,273,76,0,219,191,192,192,446,446,3458,0,0,252,240,84,250,2832,3651,1924,490,0,688.22,5,4,T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001309,1969,1252,34,47,532,0,109,42.4,45250,0,363,34,225,7,65,85,239,872,561,311,251,0,729,36,107,729,729,661,143,46,46,159,79,154,117,104,104,1683,0,33,245,8,0,218,1344,1880,872,193,0,945.51,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001310,4614,3366,57,163,181,0,594,41.5,61528,0,742,180,440,303,15,79,226,2095,1174,921,694,0,1766,84,245,1804,1804,1451,291,47,47,111,67,381,337,352,334,4409,0,14,140,51,42,56,3400,4156,2095,536,0,2162.57,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001311,3905,3145,145,64,189,0,173,48.4,93875,0,476,23,723,369,63,101,139,1520,1099,421,387,0,1377,130,13,1390,1390,1320,34,50,50,22,0,200,104,147,147,3665,0,0,149,91,103,58,2834,3711,1520,342,0,822.66,7,5,Wave Rural Connect -- 360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- AT&T Inc,0,0,1,1
