geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
42037,Columbia County,"Columbia County, PA",34368,0.81029999
13069,Coffee County,"Coffee County, GA",20666,0.8107
18133,Putnam County,"Putnam County, IN",18173,0.81150001
56009,Converse County,"Converse County, WY",8111,0.81150001
50013,Grand Isle County,"Grand Isle County, VT",6311,0.8118
40131,Rogers County,"Rogers County, OK",45159,0.81190002
72049,Culebra Municipio,"Culebra Municipio, PR",1783,0.81209999
8055,Huerfano County,"Huerfano County, CO",6604,0.81220001
13155,Irwin County,"Irwin County, GA",5058,0.81220001
20131,Nemaha County,"Nemaha County, KS",6240,0.81230003
48057,Calhoun County,"Calhoun County, TX",13850,0.81230003
29177,Ray County,"Ray County, MO",11625,0.81260002
29197,Schuyler County,"Schuyler County, MO",2579,0.81269997
30001,Beaverhead County,"Beaverhead County, MT",6710,0.81269997
47003,Bedford County,"Bedford County, TN",23663,0.81290001
31139,Pierce County,"Pierce County, NE",4446,0.81349999
30097,Sweet Grass County,"Sweet Grass County, MT",2845,0.81370002
13159,Jasper County,"Jasper County, GA",7584,0.8143
26159,Van Buren County,"Van Buren County, MI",44078,0.81449997
48371,Pecos County,"Pecos County, TX",7605,0.81470001
16047,Gooding County,"Gooding County, ID",8296,0.815
13233,Polk County,"Polk County, GA",19598,0.81510001
12093,Okeechobee County,"Okeechobee County, FL",21607,0.81529999
29071,Franklin County,"Franklin County, MO",53733,0.81550002
29163,Pike County,"Pike County, MO",9840,0.81569999
51017,Bath County,"Bath County, VA",4025,0.81569999
13129,Gordon County,"Gordon County, GA",26654,0.81599998
30059,Meagher County,"Meagher County, MT",1925,0.8161
1043,Cullman County,"Cullman County, AL",49527,0.81620002
17147,Piatt County,"Piatt County, IL",9185,0.81639999
56031,Platte County,"Platte County, WY",6133,0.81639999
8061,Kiowa County,"Kiowa County, CO",1341,0.81660002
20145,Pawnee County,"Pawnee County, KS",3982,0.81669998
21025,Breathitt County,"Breathitt County, KY",7317,0.81669998
55115,Shawano County,"Shawano County, WI",26178,0.81669998
39037,Darke County,"Darke County, OH",27280,0.8168
51069,Frederick County,"Frederick County, VA",42796,0.8168
46071,Jackson County,"Jackson County, SD",1739,0.81709999
39145,Scioto County,"Scioto County, OH",39285,0.81730002
42039,Crawford County,"Crawford County, PA",53739,0.81730002
21231,Wayne County,"Wayne County, KY",12119,0.8175
29157,Perry County,"Perry County, MO",10533,0.81770003
28083,Leflore County,"Leflore County, MS",16006,0.81800002
17011,Bureau County,"Bureau County, IL",21466,0.81809998
6093,Siskiyou County,"Siskiyou County, CA",28910,0.81870002
20071,Greeley County,"Greeley County, KS",1038,0.81889999
22015,Bossier Parish,"Bossier Parish, LA",62702,0.81900001
31113,Logan County,"Logan County, NE",464,0.81900001
56007,Carbon County,"Carbon County, WY",10456,0.81900001
30073,Pondera County,"Pondera County, MT",4124,0.81910002
39027,Clinton County,"Clinton County, OH",22219,0.81910002
6051,Mono County,"Mono County, CA",16482,0.81940001
37125,Moore County,"Moore County, NC",59106,0.8197
19121,Madison County,"Madison County, IA",9192,0.82020003
39087,Lawrence County,"Lawrence County, OH",31428,0.82029998
18077,Jefferson County,"Jefferson County, IN",17746,0.8204
19185,Wayne County,"Wayne County, IA",4866,0.8204
54085,Ritchie County,"Ritchie County, WV",7214,0.82059997
18017,Cass County,"Cass County, IN",19299,0.8215
39119,Muskingum County,"Muskingum County, OH",45814,0.82200003
40097,Mayes County,"Mayes County, OK",23315,0.82200003
51115,Mathews County,"Mathews County, VA",6277,0.82200003
8081,Moffat County,"Moffat County, CO",7869,0.82249999
31105,Kimball County,"Kimball County, NE",2642,0.82249999
19159,Ringgold County,"Ringgold County, IA",4611,0.82279998
51093,Isle of Wight County,"Isle of Wight County, VA",19317,0.82279998
8007,Archuleta County,"Archuleta County, CO",11539,0.8229
6089,Shasta County,"Shasta County, CA",94730,0.82300001
18107,Montgomery County,"Montgomery County, IN",19690,0.8233
35059,Union County,"Union County, NM",3159,0.82340002
40089,McCurtain County,"McCurtain County, OK",20780,0.82340002
48173,Glasscock County,"Glasscock County, TX",1104,0.82340002
13081,Crisp County,"Crisp County, GA",11874,0.82359999
27045,Fillmore County,"Fillmore County, MN",12248,0.82440001
42121,Venango County,"Venango County, PA",30413,0.82440001
29207,Stoddard County,"Stoddard County, MO",15558,0.82450002
32001,Churchill County,"Churchill County, NV",12860,0.8247
47047,Fayette County,"Fayette County, TN",21132,0.8251
13145,Harris County,"Harris County, GA",16175,0.82539999
51169,Scott County,"Scott County, VA",15752,0.82539999
1033,Colbert County,"Colbert County, AL",33263,0.82569999
29199,Scotland County,"Scotland County, MO",3736,0.82569999
51029,Buckingham County,"Buckingham County, VA",9507,0.8258
29145,Newton County,"Newton County, MO",28811,0.82599998
12045,Gulf County,"Gulf County, FL",11746,0.82609999
48505,Zapata County,"Zapata County, TX",8275,0.82620001
51073,Gloucester County,"Gloucester County, VA",18953,0.82630002
27075,Lake County,"Lake County, MN",8742,0.8265
50019,Orleans County,"Orleans County, VT",19323,0.82700002
48313,Madison County,"Madison County, TX",7513,0.82709998
26037,Clinton County,"Clinton County, MI",38672,0.82740003
36121,Wyoming County,"Wyoming County, NY",21645,0.82740003
48015,Austin County,"Austin County, TX",19273,0.82740003
20023,Cheyenne County,"Cheyenne County, KS",2214,0.82749999
30093,Silver Bow County,"Silver Bow County, MT",20337,0.82749999
29195,Saline County,"Saline County, MO",12142,0.8276
36077,Otsego County,"Otsego County, NY",34968,0.8276
27087,Mahnomen County,"Mahnomen County, MN",3688,0.82779998
45039,Fairfield County,"Fairfield County, SC",13751,0.82810003
51085,Hanover County,"Hanover County, VA",50134,0.82840002
37061,Duplin County,"Duplin County, NC",31740,0.82870001
35031,McKinley County,"McKinley County, NM",30594,0.82910001
17101,Lawrence County,"Lawrence County, IL",8543,0.82920003
17081,Jefferson County,"Jefferson County, IL",23777,0.8294
20001,Allen County,"Allen County, KS",7817,0.82959998
23017,Oxford County,"Oxford County, ME",39626,0.82959998
35061,Valencia County,"Valencia County, NM",33958,0.82999998
30101,Toole County,"Toole County, MT",3360,0.8301
18009,Blackford County,"Blackford County, IN",6914,0.83029997
48191,Hall County,"Hall County, TX",2726,0.83050001
20139,Osage County,"Osage County, KS",9213,0.83060002
29217,Vernon County,"Vernon County, MO",10929,0.83060002
48171,Gillespie County,"Gillespie County, TX",24134,0.83069998
17165,Saline County,"Saline County, IL",14972,0.8308
48237,Jack County,"Jack County, TX",6578,0.8308
45081,Saluda County,"Saluda County, SC",11754,0.83099997
5121,Randolph County,"Randolph County, AR",11645,0.8319
42065,Jefferson County,"Jefferson County, PA",26497,0.8319
1123,Tallapoosa County,"Tallapoosa County, AL",26671,0.83200002
8011,Bent County,"Bent County, CO",2791,0.83200002
16011,Bingham County,"Bingham County, ID",21477,0.83209997
30071,Phillips County,"Phillips County, MT",3394,0.83209997
55005,Barron County,"Barron County, WI",31904,0.83209997
18023,Clinton County,"Clinton County, IN",16641,0.83249998
48357,Ochiltree County,"Ochiltree County, TX",6202,0.83329999
36017,Chenango County,"Chenango County, NY",28192,0.83380002
28151,Washington County,"Washington County, MS",25661,0.83450001
37145,Person County,"Person County, NC",23836,0.83469999
55055,Jefferson County,"Jefferson County, WI",44603,0.83520001
48035,Bosque County,"Bosque County, TX",14950,0.8355
8009,Baca County,"Baca County, CO",3108,0.83560002
29031,Cape Girardeau County,"Cape Girardeau County, MO",41614,0.83560002
46041,Dewey County,"Dewey County, SD",2658,0.83560002
27157,Wabasha County,"Wabasha County, MN",12426,0.83569998
47099,Lawrence County,"Lawrence County, TN",22603,0.83579999
41045,Malheur County,"Malheur County, OR",14762,0.83590001
30063,Missoula County,"Missoula County, MT",66305,0.83609998
72101,Morovis Municipio,"Morovis Municipio, PR",12998,0.8362
41033,Josephine County,"Josephine County, OR",44357,0.83649999
20137,Norton County,"Norton County, KS",3508,0.83670002
20185,Stafford County,"Stafford County, KS",3142,0.83670002
42115,Susquehanna County,"Susquehanna County, PA",29326,0.83670002
17191,Wayne County,"Wayne County, IL",10951,0.83710003
54049,Marion County,"Marion County, WV",31041,0.83710003
55091,Pepin County,"Pepin County, WI",4984,0.83710003
40007,Beaver County,"Beaver County, OK",3669,0.8373
4007,Gila County,"Gila County, AZ",36211,0.83740002
47079,Henry County,"Henry County, TN",20746,0.83740002
72045,ComerÃ­o Municipio,"ComerÃ­o Municipio, PR",9176,0.83740002
31045,Dawes County,"Dawes County, NE",5314,0.83759999
54055,Mercer County,"Mercer County, WV",35540,0.83770001
50015,Lamoille County,"Lamoille County, VT",16337,0.83789998
49047,Uintah County,"Uintah County, UT",16989,0.838
29187,St. Francois County,"St. Francois County, MO",33694,0.83810002
20033,Comanche County,"Comanche County, KS",1496,0.83819997
22045,Iberia Parish,"Iberia Parish, LA",37693,0.83819997
49043,Summit County,"Summit County, UT",29297,0.83819997
18041,Fayette County,"Fayette County, IN",12801,0.83829999
1031,Coffee County,"Coffee County, AL",34025,0.83840001
47091,Johnson County,"Johnson County, TN",10520,0.83850002
48363,Palo Pinto County,"Palo Pinto County, TX",20938,0.83920002
5053,Grant County,"Grant County, AR",9823,0.83960003
20095,Kingman County,"Kingman County, KS",4917,0.83969998
20105,Lincoln County,"Lincoln County, KS",2639,0.83969998
