State FIPS,State Name,Census Block Group,High Cost Block Group
41,Oregon,410379601001,High Cost
41,Oregon,410379601003,High Cost
41,Oregon,410619701001,High Cost
41,Oregon,410659708003,High Cost
42,Pennsylvania,420099610011,High Cost
42,Pennsylvania,420179800001,High Cost
42,Pennsylvania,420512613001,High Cost
42,Pennsylvania,420792156002,High Cost
42,Pennsylvania,421070009024,High Cost
47,Tennessee,470099802001,High Cost
47,Tennessee,470139501002,High Cost
47,Tennessee,470179801001,High Cost
47,Tennessee,470359708001,High Cost
47,Tennessee,471459801001,High Cost
47,Tennessee,471579803001,High Cost
47,Tennessee,471619801001,High Cost
48,Texas,480370115015,High Cost
48,Texas,481039501001,High Cost
48,Texas,481059501001,High Cost
48,Texas,481410102123,High Cost
48,Texas,481439501002,High Cost
48,Texas,481539505001,High Cost
48,Texas,481539506005,High Cost
48,Texas,482299503003,High Cost
48,Texas,482359501001,High Cost
48,Texas,482399502003,High Cost
48,Texas,482679501001,High Cost
48,Texas,482679501002,High Cost
48,Texas,482679501003,High Cost
48,Texas,482719501001,High Cost
48,Texas,482839503022,High Cost
48,Texas,482899501023,High Cost
48,Texas,482917014006,High Cost
48,Texas,483019501001,High Cost
48,Texas,483290101242,High Cost
48,Texas,483519501002,High Cost
48,Texas,483750143001,High Cost
48,Texas,483839501001,High Cost
48,Texas,483879507001,High Cost
48,Texas,483919504002,High Cost
48,Texas,483999501002,High Cost
48,Texas,483999506005,High Cost
48,Texas,484139503001,High Cost
48,Texas,484159502001,High Cost
48,Texas,484250001012,High Cost
48,Texas,484250001021,High Cost
48,Texas,484319501001,High Cost
48,Texas,484619501001,High Cost
48,Texas,484619502001,High Cost
49,Utah,490039601001,High Cost
49,Utah,490059801001,High Cost
49,Utah,490139406004,High Cost
49,Utah,490279743002,High Cost
49,Utah,490379420001,High Cost
49,Utah,490379421001,High Cost
49,Utah,490439642031,High Cost
49,Utah,490459800001,High Cost
49,Utah,490479402011,High Cost
50,Vermont,500219623004,High Cost
51,Virginia,511650110001,High Cost
53,Washington,530019501001,High Cost
53,Washington,530019502001,High Cost
53,Washington,530019502002,High Cost
53,Washington,530019502003,High Cost
53,Washington,530090024001,High Cost
53,Washington,530099400002,High Cost
53,Washington,530199400001,High Cost
53,Washington,530199400002,High Cost
53,Washington,530199701001,High Cost
53,Washington,530210208012,High Cost
53,Washington,530239703002,High Cost
53,Washington,530270007002,High Cost
53,Washington,530319507021,High Cost
53,Washington,530399501011,High Cost
53,Washington,530399501022,High Cost
53,Washington,530399501031,High Cost
53,Washington,530439602001,High Cost
53,Washington,530439603001,High Cost
53,Washington,530439604001,High Cost
53,Washington,530439604003,High Cost
53,Washington,530479402001,High Cost
53,Washington,530479402002,High Cost
53,Washington,530479703011,High Cost
53,Washington,530479703031,High Cost
53,Washington,530479703032,High Cost
53,Washington,530479703033,High Cost
53,Washington,530479708001,High Cost
53,Washington,530530701002,High Cost
53,Washington,530599501001,High Cost
53,Washington,530659501023,High Cost
53,Washington,530750010002,High Cost
54,West Virginia,540079680001,High Cost
54,West Virginia,540079681005,High Cost
54,West Virginia,540139627002,High Cost
54,West Virginia,540219677011,High Cost
54,West Virginia,540219677013,High Cost
54,West Virginia,540219677016,High Cost
54,West Virginia,540219800001,High Cost
54,West Virginia,540259502001,High Cost
54,West Virginia,540439558002,High Cost
54,West Virginia,540759602011,High Cost
54,West Virginia,540839659002,High Cost
54,West Virginia,541019701021,High Cost
55,Wisconsin,550630107003,High Cost
56,Wyoming,560019639003,High Cost
56,Wyoming,560050001011,High Cost
56,Wyoming,560119502004,High Cost
56,Wyoming,560119503001,High Cost
56,Wyoming,560130003012,High Cost
56,Wyoming,560139402011,High Cost
56,Wyoming,560199551001,High Cost
56,Wyoming,560299653013,High Cost
56,Wyoming,560350001041,High Cost
56,Wyoming,560379716002,High Cost
56,Wyoming,560419753012,High Cost
60,American Samoa,600209518001,High Cost
60,American Samoa,600209518002,High Cost
66,Guam,660109501001,High Cost
66,Guam,660109502001,High Cost
66,Guam,660109502002,High Cost
66,Guam,660109502004,High Cost
66,Guam,660109503001,High Cost
66,Guam,660109528001,High Cost
66,Guam,660109544001,High Cost
66,Guam,660109544004,High Cost
66,Guam,660109545001,High Cost
66,Guam,660109563003,High Cost
66,Guam,660109801001,High Cost
69,Northern Mariana Islands,691009501001,High Cost
69,Northern Mariana Islands,691009501002,High Cost
69,Northern Mariana Islands,691009501003,High Cost
69,Northern Mariana Islands,691100001001,High Cost
69,Northern Mariana Islands,691100017001,High Cost
69,Northern Mariana Islands,691209502012,High Cost
69,Northern Mariana Islands,691209502021,High Cost
69,Northern Mariana Islands,691209502022,High Cost
72,Puerto Rico,720371604007,High Cost
72,Puerto Rico,721279803001,High Cost
